SOURCE_KEY,mean_ratio,std_ratio,n_days,days_below_band,frac_days_below_band,flagged_underperforming
bvBOhCH3iADSZry,0.9320513203038682,0.3300195139649057,34,32,0.9411764705882353,True
1BY6WEcLGh8j5v7,0.9473965837671008,0.3408047732392775,34,30,0.8823529411764706,True
ZoEaEvLYb1n2sOq,1.0153490299175767,0.33252073104276686,34,1,0.029411764705882353,False
WRmjgnKYAwPKWDb,1.0204936874645856,0.3011771968504533,34,2,0.058823529411764705,False
zBIq5rxdHJRwDNY,1.0212852395418501,0.339497025139744,34,4,0.11764705882352941,False
iCRJl6heRkivqQ3,1.0228725366820388,0.29196721036068224,34,0,0.0,False
z9Y9gH1T5YWrNuG,1.0229056979698707,0.36598822502829,34,3,0.08823529411764706,False
pkci93gMrogZuBj,1.024481448491274,0.3212139851108945,34,0,0.0,False
zVJPv84UY57bAof,1.025681743334772,0.3301495327180508,34,1,0.029411764705882353,False
sjndEbLyjtCKgGv,1.0279893977807166,0.370538693413233,34,1,0.029411764705882353,False
7JYdWkrLSPkdwr4,1.0286474880914496,0.37147637529403693,34,1,0.029411764705882353,False
ih0vzX44oOqAx2f,1.02931450778776,0.4245629594447849,34,4,0.11764705882352941,False
YxYtjZvoooNbGkE,1.0302737082971796,0.3764759417261973,34,0,0.0,False
rGa61gmuvPhdLxV,1.035262035523889,0.34005358737067826,34,2,0.058823529411764705,False
uHbuxQJl8lW7ozc,1.0385605640455469,0.3198468300137299,34,0,0.0,False
wCURE6d3bPkepu2,1.0435902850630325,0.42937105247164903,34,1,0.029411764705882353,False
VHMLBKoKgIrUVDU,1.0441859638186342,0.34609940502542097,34,0,0.0,False
3PZuoBAID5Wc2HD,1.05208016846254,0.37795030225953363,34,0,0.0,False
ZnxXDlPa8U1GXgE,1.059455947133199,0.4259087383723187,34,0,0.0,False
McdE0feGgRqW7Ca,1.0605777460476398,0.4356669527050776,34,1,0.029411764705882353,False
1IF53ai7Xc0U56Y,1.0673902240290882,0.4329300542061654,34,0,0.0,False
adLQvlD726eNBSB,1.1078144942689554,0.4546387342033332,34,0,0.0,False
